# Term	Identifier
coronavirus SARS-CoV-2.	MESH:D017934
mild	HP:0012825
natural history	MESH:D019021
clinical protocols	MESH:D002985
chronic	HP:0011010
mental health	MESH:D008603
COVID	MESH:D000086382
COVID	HP:0033141
cardiology	MESH:D002309
oncology	HP:0002664
oncology	MESH:D008495
commerce	MESH:D003132
blood pressure	MESH:D001794
electrocardiogram	MESH:D004562
cardiac surgery	MESH:D006348
cardiac catheterization	MESH:D002405
angioplasties	MESH:D017130
pacemaker	MESH:D010138
Chemotherapy	MESH:D017024
radiotherapy	MESH:D011878
cardiac surgeries	MESH:D006348
chemotherapy	MESH:D017024
prognosis	MESH:D011379
frequent	HP:0040282
severe acute respiratory syndrome coronavirus 2	DOID:0080600
severe acute respiratory syndrome coronavirus 2	HP:0033141
severe acute respiratory syndrome coronavirus 2	MESH:D000086382
SARS-CoV-2	HP:0033141
literature	MESH:D008091
fever	MESH:D005334
fever	HP:0001945
coughing	HP:0012735
dyspnea	MESH:D004417
dyspnea	HP:0002094
gastrointestinal symptoms	HP:0012719
taste	GO:0050909
taste	MESH:D013649
smell	GO:0007608
smell	MESH:D012903
diagnostic tests	MESH:D000086742
health services	MESH:D006296
prevention	MESH:D011322
treatment	MESH:D013812
RNA	CHEBI:33697
RNA virus	MESH:D012328
severe acute respiratory disease	MESH:D045169
respiratory disease	HP:0002795
respiratory disease	DOID:1579
pulmonary disease	MESH:D008171
pulmonary disease	HP:0002795
pulmonary disease	DOID:850
cardiovascular damage	HP:0001626
myocardial injury	HP:0001637
biomarkers	MESH:D015415
survivors	MESH:D017741
confidence intervals.	MESH:D016001
retrospective studies	MESH:D012189
troponin I	MESH:D019210
natriuretic peptide	CHEBI:80233
creatine	MESH:D003401
creatine	CHEBI:16919
cardiac complications	MESH:D018376
SARS-CoV-2 infection	MESH:D000086382
SARS-CoV-2 infection	HP:0033141
SARS-CoV-2 infection	DOID:0080600
cardiovascular conditions	MESH:D018376
cardiovascular decompensation	HP:0030872
Severe Acute Respiratory Syndrome	MESH:D045169
Severe Acute Respiratory Syndrome	DOID:2945
Severe	HP:0012828
Acute	HP:0011009
SARS	DOID:2945
SARS	MESH:D045169
female	MESH:D005260
hospital mortality	MESH:D017052
SARS-CoV-2)	MESH:D045169
SARS-CoV-2)	DOID:0080600
SARS-CoV-2)	HP:0033141
coronavirus	DOID:0080600
coronavirus disease 2019	HP:0033141
viral pneumonia	DOID:10533
pneumonia	MESH:D011014
pneumonia	HP:0002090
acute respiratory distress syndrome	DOID:11394
corticosteroids	CHEBI:50858
dexamethasone	MESH:D003907
dexamethasone	CHEBI:41879
ventilation	MESH:D014691
adult	MESH:D000328
Patients	MESH:D010361
intensive care unit	MESH:D003422
perception	MESH:D010465
social isolation	MESH:D012934
affected	HP:0032320
income	MESH:D007182
physical activity	MESH:D015444
sleep	GO_0030431
sleep	MESH:D012890
